ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
fay,3,40,0.698477154,0.213501871,0.058830634,0.019622329,0.009196987,0.000338019,3.3e-05
fer,3,40,0.785793524,0.162117474,0.036884174,0.010740257,0.004331103,0.000123344,1.01e-05
ffm,1,40,0.993485302,0.006058089,0.000398925,4.94e-05,8.27e-06,4.61e-08,1.32e-09
fgr,5,40,0,0,0,0,0,0,1
fia,2,40,0.812206593,0.144992973,0.030854381,0.008570737,0.003283153,8.55e-05,6.62e-06
fie,1,40,0.871770517,0.103684966,0.018466863,0.00452766,0.001516723,3.12e-05,2.06e-06
fij,1,40,0.994438096,0.005188514,0.000327544,3.94e-05,6.42e-06,3.38e-08,9.34e-10
fil,1,40,0.031166414,0.120126593,0.160378496,0.171946148,0.355198607,0.107075577,0.054108165
fin,1,40,0.954206697,0.039927299,0.004758912,0.000882981,0.000221306,2.68e-06,1.25e-07
fip,1,40,0.940361557,0.051233346,0.006713658,0.001329879,0.000356422,4.89e-06,2.48e-07
fir,1,40,0.707615332,0.208506442,0.056400885,0.018565875,0.008574483,0.000307462,2.95e-05
fit,1,40,0.724439778,0.199072356,0.052004707,0.016699973,0.007502485,0.000256815,2.39e-05
fiw,1,40,0.586016301,0.267199652,0.090879267,0.035237284,0.019600189,0.00095407,0.000113238
fkv,2,40,0.440562905,0.312283711,0.136537745,0.063481767,0.043708183,0.002976634,0.000449055
fla,5,40,0,0,0,0,0,0,1
flh,2,40,0.557003809,0.278561625,0.099697631,0.040100441,0.023272803,0.00121268,0.000151011
fli,1,40,0.915605442,0.070811487,0.010593361,0.002300064,0.000677942,1.11e-05,6.29e-07
fll,2,40,0.830468408,0.132727009,0.026870301,0.007206804,0.002657867,6.48e-05,4.8e-06
fln,7,40,0,0,0,0,0,0,1
flr,1,40,0.983688948,0.0148207,0.001265883,0.000186924,3.72e-05,2.91e-07,1.03e-08
fmp,1,40,0.953841756,0.04022887,0.004808212,0.00089384,0.000224466,2.73e-06,1.28e-07
fmu,1,40,0.937164437,0.053806275,0.007188327,0.001443048,0.000392112,5.52e-06,2.84e-07
fni,1,40,0.673115862,0.226883965,0.065722292,0.022715835,0.011082156,0.000435379,4.45e-05
fod,1,40,0.92457048,0.063811188,0.009135916,0.001924075,0.000549409,8.47e-06,4.63e-07
foi,1,40,0.86735742,0.106875407,0.01932208,0.004787169,0.001621611,3.4e-05,2.28e-06
fon,1,40,0.996662957,0.003141257,0.000173793,1.91e-05,2.86e-06,1.27e-08,3.15e-10
for,1,40,0.972466619,0.024566019,0.002468472,0.000407316,9.07e-05,8.77e-07,3.55e-08
fos,6,40,0,0,0,0,0,0,1
fqs,1,40,0.881455253,0.096608663,0.016628155,0.003980627,0.001300097,2.56e-05,1.64e-06
frc,3,40,0.255730685,0.314300385,0.193047013,0.115171469,0.107738846,0.01156224,0.002449362
frd,2,40,0.586139516,0.267149099,0.090842231,0.035217396,0.01958558,0.000953081,0.000113097
frp,4,40,0,0,0,0,0,0,1
frq,1,40,0.618953262,0.253016133,0.081116014,0.030145369,0.015970186,0.000718362,8.07e-05
frr,3,40,0.535683733,0.286203889,0.106292219,0.043908362,0.026287032,0.001439161,0.000185605
frs,3,40,0.330921298,0.322895808,0.171400091,0.091829041,0.075111063,0.006631268,0.001211431
frt,2,40,0.490832851,0.300207552,0.12042308,0.05259547,0.033617606,0.002040229,0.000283212
fry,1,40,0.896692228,0.085264184,0.013845756,0.003182708,0.000995887,1.81e-05,1.11e-06
fub,1,40,0.990461554,0.008794519,0.000643057,8.54e-05,1.53e-05,9.79e-08,3.05e-09
fuc,1,40,0.998097663,0.001805426,8.7e-05,8.72e-06,1.19e-06,4.43e-09,9.82e-11
fue,1,40,0.959273222,0.035719567,0.00408785,0.000737543,0.000179663,2.06e-06,9.32e-08
fuf,1,40,0.996330188,0.003449144,0.000195476,2.19e-05,3.32e-06,1.52e-08,3.84e-10
fuh,1,40,0.996842521,0.002974842,0.000162313,1.77e-05,2.62e-06,1.14e-08,2.8e-10
fui,1,40,0.771879701,0.170845379,0.040181216,0.011977816,0.004955907,0.000147506,1.25e-05
fuj,2,40,0.3687076,0.321958362,0.159588312,0.081313105,0.062535593,0.005037479,0.00085955
fun,3,40,0.443443844,0.311702268,0.135610027,0.06282367,0.043069009,0.002913728,0.000437454
fuq,1,40,0.99227909,0.007153679,0.000493306,6.3e-05,1.09e-05,6.43e-08,1.91e-09
fur,1,40,0.844947968,0.12275237,0.023825031,0.006203694,0.00221619,5.11e-05,3.64e-06
fuu,1,40,0.921645153,0.066106294,0.009605225,0.002043726,0.000589817,9.27e-06,5.13e-07
fuv,1,40,0.987868556,0.011116956,0.000870422,0.000121136,2.28e-05,1.59e-07,5.23e-09
fuy,1,40,0.977411365,0.020304637,0.001915995,0.000302841,6.46e-05,5.75e-07,2.21e-08
fvr,1,40,0.984723892,0.013907809,0.001164919,0.000169739,3.34e-05,2.54e-07,8.85e-09
fwa,2,40,0.40405579,0.318400582,0.148292849,0.072195268,0.052537158,0.003893575,0.000624778
fwe,1,40,0.832749127,0.131170541,0.026383823,0.007044215,0.002585191,6.25e-05,4.6e-06
gaa,1,40,0.996910028,0.002912226,0.000158038,1.72e-05,2.54e-06,1.1e-08,2.68e-10
gab,1,40,0.851058072,0.118476665,0.022571374,0.005801106,0.002043584,4.6e-05,3.22e-06
gad,1,40,0.807222782,0.148279874,0.03196844,0.008962211,0.003467566,9.19e-05,7.19e-06
gae,4,40,0,0,0,0,0,0,1
gaf,1,40,0.90331091,0.080254085,0.012681267,0.002860154,0.000877261,1.54e-05,9.17e-07
gag,1,40,0.816257838,0.142301993,0.029957128,0.00825861,0.003137663,8.06e-05,6.17e-06
gah,3,40,0.969194506,0.027360365,0.002851426,0.000482424,0.000110115,1.12e-06,4.67e-08
gai,1,40,0.848807598,0.120056111,0.02303091,0.00594796,0.002106226,4.78e-05,3.37e-06
gaj,1,40,0.976611685,0.020997098,0.002003081,0.000318978,6.85e-05,6.19e-07,2.4e-08
gak,1,40,0.476265519,0.304117816,0.125071373,0.055621699,0.036320542,0.002279015,0.000324036
gal,1,40,0.679511885,0.223576445,0.063964159,0.021913036,0.010584161,0.000408977,4.13e-05
gam,1,40,0.887900879,0.091841519,0.015434258,0.003633701,0.001166033,2.22e-05,1.4e-06
gao,1,40,0.871391774,0.10395961,0.018539839,0.004549681,0.001525572,3.14e-05,2.08e-06
